Pair,Price(USDT),Equivalent price(USD),24H Change,24H Volume(USDT),AI annualized return
ETH/USDT,2744.5,2744.5,+1.41%,1.48B,+286.14%
BTC/USDT,53578.09,53578.09,-1.42%,1.2B,+138.13%
SRM3L/USDT,182.529,182.52,-1.43%,892.36M,+3515.80%
DOGE/USDT,0.308993,0.3,-2.54%,631.21M,+614.63%
HT/USDT,23.2727,23.27,+26.59%,609.26M,+367.11%
XRP/USDT,1.39182,1.39,+1.44%,489.5M,+493.68%
SOL3L/USDT,778.261,778.26,-11.27%,485.79M,+2002.73%
FIL/USDT,157.8005,157.8,+5.78%,302.88M,+211.73%
DOT/USDT,36.29,36.29,+8.75%,279.66M,+241.59%
BNB3L/USDT,309.474,309.47,+18.13%,258.39M,+782.86%
TRX/USDT,0.120365,0.12,-0.51%,189.56M,+448.98%
ADA/USDT,1.312447,1.31,+0.27%,188.72M,+283.61%
BUSD/USDT,0.9993,0.99,-0.04%,178.15M,--
BTT/USDT,0.00686318,0.0068,-2.10%,175M,+443.11%
MDX/USDT,3.4265,3.42,+23.34%,159.9M,+180.73%
UNI/USDT,40.2528,40.25,-5.95%,159.34M,+457.08%
LTC/USDT,257.36,257.36,+1.50%,148.15M,+198.48%
VET3L/USDT,31.897,31.89,-13.14%,139.82M,+1250.31%
MATIC/USDT,0.9209,0.92,+16.57%,136.8M,+1401.78%
EOS/USDT,6.083,6.08,+3.67%,123.87M,+251.47%
CHZ/USDT,0.550636,0.55,+2.18%,117.47M,+352.25%
BCH/USDT,879.86,879.86,-0.36%,113.88M,+210.87%
BSV/USDT,282.2155,282.21,-0.17%,102.71M,+264.52%
ALICE/USDT,12.9534,12.95,-5.58%,92.29M,+2489.93%
CAKE/USDT,42.557,42.55,+9.84%,88.56M,+562.58%
SUN/USDT,32.7194,32.71,-1.97%,85.32M,+288.53%
SUSHI/USDT,13.9896,13.98,-2.34%,82.99M,+334.85%
LINK/USDT,36.3844,36.38,+2.32%,80.07M,+258.16%
JST/USDT,0.120291,0.12,-0.76%,77.06M,+432.90%
WIN/USDT,0.00129424,0.0012,-2.52%,74.35M,+1685.51%
PUNDIX/USDT,3.171,3.17,-2.16%,71.28M,+740.65%
TFUEL/USDT,0.328889,0.32,+0.74%,67.5M,+651.05%
TRX1S/USDT,2.195,2.19,+0.55%,62.16M,+351.20%
TOMO3S/USDT,7.184,7.18,-31.92%,59.95M,+1249.16%
ETC/USDT,34.2085,34.2,-0.59%,57.15M,+218.17%
DODO/USDT,3.785,3.78,+8.11%,52.87M,+575.93%
AAVE/USDT,438.518,438.51,-2.41%,52.44M,+368.92%
VET/USDT,0.189141,0.18,-3.29%,51.16M,+932.72%
PERP/USDT,7.935,7.93,+9.01%,49.52M,+311.29%
ZEC/USDT,230.83,230.83,-2.25%,43.87M,+224.34%
1INCH3L/USDT,15.118,15.11,-4.99%,40.14M,+5943.07%
DEGO/USDT,15.653,15.65,-10.69%,39.5M,+1743.85%
ATOM/USDT,22.2945,22.29,-0.40%,38.56M,+382.46%
SRM/USDT,9.2279,9.22,+0.98%,36.2M,+1580.62%
DENT/USDT,0.0110144,0.011,+0.99%,34.64M,+1171.66%
MFT/USDT,0.016094,0.016,-1.49%,34.42M,+550.01%
BNB/USDT,600.9708,600.97,+6.89%,32.18M,+309.63%
ONT/USDT,1.694,1.69,+2.25%,32.03M,+340.40%
KNC3L/USDT,6.442,6.44,-2.53%,31.78M,+1809.63%
CRV/USDT,3.031,3.03,+2.23%,31.65M,+386.62%
ZKS/USDT,2.5021,2.5,+1.69%,31.43M,+278.99%
IOTX/USDT,0.076674,0.076,+54.40%,30.26M,+1093.66%
DASH/USDT,293.32,293.32,+4.36%,29.54M,+253.59%
THETA/USDT,10.9154,10.91,-1.67%,29.18M,+416.37%
CHR/USDT,0.35614,0.35,+19.51%,28.95M,+625.10%
KEY/USDT,0.017067,0.017,-1.15%,28.54M,+551.20%
QTUM/USDT,14.2088,14.2,+0.51%,27.41M,+401.32%
SXP/USDT,4.494,4.49,-1.45%,27.14M,+918.57%
MANA/USDT,1.4162,1.41,-3.80%,27.04M,+347.45%
EOS3L/USDT,4.46,4.46,+11.67%,26.97M,+718.30%
WAVES/USDT,22.4752,22.47,+21.88%,25.47M,9.6087
ETH3L/USDT,48.419,48.41,+3.47%,24.8M,+756.00%
NEAR/USDT,5.3029,5.3,+9.40%,24.59M,+326.82%
TRX3L/USDT,2.556,2.55,-1.62%,24.14M,+1692.89%
SOL/USDT,42.3949,42.39,-3.87%,24.04M,+401.32%
LUNA/USDT,16.0145,16.01,-2.34%,23.48M,+781.85%
NEO/USDT,89.53,89.53,-1.30%,22.96M,+345.80%
HNT3S/USDT,4.191,4.19,+8.38%,22.51M,+5856.05%
XLM/USDT,0.49007,0.49,-0.46%,22.16M,+297.98%
NEAR3L/USDT,16.36,16.36,+27.42%,21.61M,+3952.51%
ETC3S/USDT,46.683,46.68,+1.49%,21.48M,+1473.93%
LINK1S/USDT,4.23,4.23,-2.15%,21.05M,+559.72%
XMR/USDT,406.15,406.15,-3.31%,21.03M,+445.47%
KSM/USDT,391.1324,391.13,+1.55%,20.49M,+328.27%
FOR/USDT,0.116539,0.11,+19.73%,20.42M,+650.63%
SWRV/USDT,2.6164,2.61,+59.39%,19.68M,+1887.88%
PSG/USDT,44.077,44.07,-0.49%,19.41M,+1199.47%
BAGS/USDT,152.7589,152.75,-1.79%,19.37M,+2027.93%
ALGO/USDT,1.3505,1.35,+6.79%,19.26M,+350.64%
BZRX/USDT,0.8484,0.84,+14.39%,19.25M,+967.32%
1INCH/USDT,5.385191,5.38,-1.50%,18.71M,+436.65%
POLS/USDT,2.956,2.95,-2.50%,17.44M,+590.75%
TRX3S/USDT,1.837,1.83,+1.21%,17.2M,+1016.58%
FLM/USDT,0.7571,0.75,+3.53%,17.04M,+418.77%
ENJ/USDT,2.60739,2.6,-0.36%,16.87M,+518.67%
DOGE3L/USDT,85.764,85.76,-7.24%,16.18M,+2609.00%
SKL/USDT,0.697959,0.69,+23.39%,15.77M,+332.93%
IOST/USDT,0.060404,0.06,-1.33%,15.56M,+977.85%
FRONT/USDT,2.885727,2.88,+37.63%,15.47M,+1379.71%
GRT/USDT,1.509847,1.5,+1.43%,15.14M,+268.90%
CTSI/USDT,0.63327,0.63,+4.85%,15.09M,+1051.42%
JUV/USDT,17.211,17.21,+7.51%,15.01M,+437.14%
CELO/USDT,5.1467,5.14,-1.57%,14.82M,+969.39%
XEM/USDT,0.332,0.33,+1.13%,14.39M,+437.31%
ASR/USDT,9.543,9.54,+2.93%,14.19M,+386.36%
ROSE/USDT,0.14916,0.14,-0.80%,13.65M,+264.97%
COMP/USDT,645.51,645.51,+2.01%,13.3M,+421.61%
CTK/USDT,2.4449,2.44,-4.14%,13.16M,+886.07%
PHA/USDT,0.885061,0.88,-3.12%,12.92M,+480.78%
BEL/USDT,3.8399,3.83,+5.35%,12.87M,+308.35%
LTC1S/USDT,3.461,3.46,-1.51%,12.85M,+558.75%
MX/USDT,1.1754,1.17,+8.25%,12.55M,+423.11%
ENJ3L/USDT,4.375,4.37,-1.57%,12.02M,+2163.12%
YFI/USDT,46804.48,46804.48,-1.07%,11.87M,+229.98%
WICC/USDT,0.4769,0.47,+0.10%,11.69M,+355.37%
DGB/USDT,0.12732,0.12,+3.16%,11.65M,+278.16%
OG/USDT,9.588,9.58,+4.84%,11.57M,+319.12%
ZEN/USDT,118.226,118.22,+0.11%,11.51M,+325.13%
ONE/USDT,0.136656,0.13,+4.26%,11.39M,+840.92%
XLM1S/USDT,2.115,2.11,+0.67%,11.32M,+334.43%
THETA3L/USDT,105.274,105.27,-4.92%,10.99M,+1346.64%
OMG/USDT,7.2589,7.25,-0.18%,10.9M,+334.07%
XRP3L/USDT,1.678,1.67,+3.26%,10.64M,+1481.91%
RSR/USDT,0.083718,0.083,+1.69%,10.51M,+338.67%
CFX/USDT,0.983,0.98,-2.67%,10.41M,+352.82%
INJ/USDT,24.4516,24.45,+15.59%,10.4M,+951.66%
AVAX3L/USDT,15.858,15.85,+6.10%,10.39M,+2882.30%
VET3S/USDT,2.531,2.53,+8.30%,10.17M,+1345.22%
VTHO/USDT,0.017677,0.017,-2.84%,10.13M,+1031.28%
COMP1S/USDT,2.742,2.74,-2.04%,10.09M,+365.93%
FTM3S/USDT,3.268,3.26,+5.76%,10M,+4764.38%
MASK/USDT,14.665,14.66,+4.68%,9.79M,+330.46%
XVS/USDT,118.892,118.89,+59.60%,9.61M,+1372.21%
BAT3S/USDT,1.621,1.62,-0.73%,9.59M,+878.03%
IOTA/USDT,2.2808,2.28,+0.14%,9.45M,+465.56%
SRM3S/USDT,1.734,1.73,-8.30%,9.42M,+5698.03%
RUNE3L/USDT,33.205,33.2,+11.21%,9.3M,+1114.86%
AVAX/USDT,27.9879,27.98,+2.15%,9.18M,+471.02%
BTM/USDT,0.1849,0.18,+0.05%,9.15M,+180.64%
WRX/USDT,2.74965,2.74,-6.25%,8.93M,+599.18%
ANKR/USDT,0.161668,0.16,-3.00%,8.79M,+403.79%
TRB3S/USDT,4.893,4.89,-5.05%,8.54M,+2151.43%
MBL/USDT,0.016242,0.016,-2.47%,8.53M,+898.60%
TT/USDT,0.01834,0.018,+2.46%,8.46M,+438.09%
SNX/USDT,17.589,17.58,+5.52%,8.42M,+338.24%
ACM/USDT,10.66,10.66,+6.14%,8.07M,+495.55%
FLOW/USDT,30.3475,30.34,-1.06%,8.03M,+620.99%
AXS/USDT,9.53696,9.53,-4.19%,7.95M,+483.88%
YFII3S/USDT,2.668,2.66,-0.78%,7.91M,+943.13%
BEAM/USDT,1.3189,1.31,+5.61%,7.83M,+457.45%
XTZ/USDT,5.2532,5.25,+0.99%,7.75M,+279.49%
XRP1S/USDT,0.407,0.4,-0.97%,7.7M,+353.42%
RUNE/USDT,14.3673,14.36,+3.60%,7.58M,+220.18%
MXC/USDT,0.043959,0.043,-4.92%,7.47M,+596.75%
ONT1S/USDT,5.307,5.3,-2.73%,7.43M,+563.13%
KAVA1S/USDT,2.961,2.96,-1.14%,7.24M,+373.73%
ZRX/USDT,1.6651,1.66,-0.25%,7.19M,+516.74%
AION/USDT,0.324,0.32,+2.08%,7.15M,+692.20%
FET/USDT,0.60844,0.6,+3.16%,7.08M,+747.33%
ETC1S/USDT,5.061,5.06,+0.48%,7.01M,+575.79%
OCEAN/USDT,1.2941,1.29,-2.70%,6.82M,+361.76%
CRO/USDT,0.1868,0.18,+0.97%,6.78M,+162.74%
FTM3L/USDT,1.789,1.78,-18.24%,6.76M,+4730.85%
STORJ/USDT,1.9239,1.92,-2.03%,6.74M,+658.19%
HNT/USDT,16.473,16.47,-3.10%,6.72M,+776.13%
ZIL/USDT,0.192209,0.19,+0.13%,6.64M,+477.82%
DATA/USDT,0.14735,0.14,+1.10%,6.64M,+547.46%
NMR/USDT,64.395,64.39,-0.88%,6.63M,+219.60%
NANO/USDT,13.1516,13.15,-0.44%,6.56M,+598.55%
XLM3L/USDT,3.519,3.51,-1.70%,6.48M,+1020.40%
ETH2L/USDT,1.626,1.62,+2.33%,6.46M,+315.28%
BADGER/USDT,31.7585,31.75,-4.75%,5.79M,+279.55%
ANT/USDT,9.67,9.67,+6.11%,5.71M,+443.87%
WOO/USDT,0.97124,0.97,-0.75%,5.6M,+477.65%
REP/USDT,36.274,36.27,-1.04%,5.59M,+599.15%
USDC/USDT,0.9994,0.99,+0.02%,5.45M,--
EGLD/USDT,175.96,175.96,-1.38%,5.4M,+216.93%
ADA3L/USDT,3.897,3.89,-4.23%,5.29M,+1688.98%
ALPHA/USDT,1.59487,1.59,+12.42%,5.27M,+447.79%
HPT/USDT,0.014405,0.014,+11.00%,5.26M,+219.59%
ADA1S/USDT,1.47,1.47,-0.14%,5.08M,+247.34%
YFII/USDT,2464.24,2464.24,+0.24%,4.97M,+261.31%
1INCH3S/USDT,2.135,2.13,-11.48%,4.92M,+1135.13%
COCOS/USDT,1.2955,1.29,+13.20%,4.87M,+943.43%
BAT3L/USDT,15.948,15.94,+0.58%,4.8M,+5991.36%
COTI/USDT,0.39635,0.39,+7.86%,4.75M,+1009.39%
EGLD3S/USDT,3.854,3.85,+3.63%,4.72M,+931.92%
DOT3L/USDT,2.104,2.1,+27.83%,4.7M,+668.12%
MKR/USDT,4139.52,4139.52,-1.38%,4.59M,+282.27%
TRB/USDT,82.6098,82.6,+1.69%,4.52M,+1164.79%
BAND/USDT,16.3545,16.35,-2.84%,4.43M,+329.29%
FTT/USDT,52.3083,52.3,-0.40%,4.32M,+182.47%
WAVES3L/USDT,40.429,40.42,+63.88%,4.26M,+4483.65%
PNT/USDT,1.9243,1.92,+12.66%,4.25M,+726.14%
HBAR/USDT,0.28213,0.28,-0.18%,4.1M,+591.26%
POND/USDT,0.173868,0.17,+1.47%,4.07M,+990.04%
ALGO1S/USDT,2.041,2.04,-7.06%,4.01M,+361.28%
DIA/USDT,4.184,4.18,+10.78%,3.95M,+409.37%
SAND/USDT,0.559148,0.55,-0.01%,3.95M,+458.45%
REEF/USDT,0.036057,0.036,+4.28%,3.94M,+308.83%
EOS3S/USDT,0.485,0.48,-15.36%,3.92M,+1096.20%
TOMO3L/USDT,0.633,0.63,+33.83%,3.9M,+931.83%
YFII3L/USDT,1.264,1.26,+0.72%,3.83M,+718.84%
CKB/USDT,0.024032,0.024,-3.92%,3.81M,+1170.31%
AE/USDT,0.3664,0.36,-6.72%,3.73M,+1500.68%
MITH/USDT,0.12496,0.12,-6.68%,3.72M,+1608.99%
AKRO/USDT,0.04984,0.049,+0.14%,3.69M,+450.00%
BNT/USDT,6.6541,6.65,+1.19%,3.67M,+166.66%
BLZ3L/USDT,2.016,2.01,+56.28%,3.63M,+1415.30%
KAVA/USDT,5.1221,5.12,+1.07%,3.62M,+388.67%
HNT3L/USDT,0.624,0.62,-9.04%,3.56M,+3275.46%
KNC/USDT,3.075,3.07,-1.00%,3.52M,+529.93%
BCH1S/USDT,5.207,5.2,+0.25%,3.5M,+432.27%
GXC/USDT,0.9175,0.91,+7.49%,3.49M,+687.36%
FIL3L/USDT,4.179,4.17,+14.37%,3.45M,+720.31%
ENJ3S/USDT,1.323,1.32,-9.07%,3.4M,+1358.03%
DF/USDT,0.3651,0.36,+10.27%,3.31M,+478.05%
OGN/USDT,1.7949,1.79,-1.47%,3.3M,+461.40%
BLZ3S/USDT,1.176,1.17,-42.24%,3.26M,+1018.20%
ONT3S/USDT,6.841,6.84,-5.77%,3.26M,+898.16%
ETH1S/USDT,2.131,2.13,-2.47%,3.25M,+309.26%
ATOM3L/USDT,5.347,5.34,-1.40%,3.22M,+1636.76%
VALUE/USDT,5.4437,5.44,+5.19%,3.16M,+605.45%
FTM/USDT,0.6045,0.6,-7.15%,3.08M,+2069.76%
BLZ/USDT,0.4328,0.43,+16.31%,3.08M,+484.61%
REN/USDT,0.843629,0.84,-0.54%,3.07M,+346.22%
UNI3L/USDT,13.317,13.31,-16.41%,3.05M,+2672.77%
GT/USDT,3.9222,3.92,+12.66%,3.01M,+225.58%
STORJ3S/USDT,5.928,5.92,+4.51%,2.94M,+878.83%
EOS1S/USDT,0.137,0.13,-3.52%,2.94M,+242.05%
COS/USDT,0.0319,0.031,+1.53%,2.92M,+421.51%
BAT/USDT,1.1904,1.19,+0.17%,2.91M,+365.06%
KAVA3S/USDT,3.37,3.37,-9.94%,2.88M,+1268.73%
CELR/USDT,0.0635,0.063,+1.29%,2.86M,+505.04%
ATOM3S/USDT,4.648,4.64,+1.57%,2.86M,+791.93%
AUDIO/USDT,2.18956,2.18,-1.50%,2.84M,+504.76%
WAXP/USDT,0.251904,0.25,+6.61%,2.82M,+603.54%
DOGE1S/USDT,8.441,8.44,+3.00%,2.78M,+353.26%
FLM3S/USDT,2.148,2.14,-8.52%,2.73M,+1010.58%
NEW/USDT,0.001126,0.0011,+0.45%,2.72M,+490.13%
VET1S/USDT,1.083,1.08,+2.46%,2.63M,+397.21%
BNB3S/USDT,2.458,2.45,-23.21%,2.61M,+880.96%
SUSHI3L/USDT,1.18,1.18,-6.05%,2.58M,+1154.65%
RLC/USDT,2.7499,2.74,+2.20%,2.58M,+1188.75%
BAL/USDT,58.615,58.61,+1.54%,2.57M,+305.06%
ZIL3S/USDT,2.102,2.1,-0.47%,2.56M,+1272.86%
ATOM1S/USDT,2.02,2.02,+0.50%,2.51M,+346.62%
IOTA1S/USDT,3.977,3.97,+3.14%,2.49M,+400.85%
AVAX3S/USDT,3.583,3.58,-5.59%,2.37M,+1128.10%
LRC/USDT,0.52778,0.52,+2.74%,2.27M,+257.53%
AAVE3L/USDT,1.413,1.41,-7.10%,2.26M,+1894.56%
PAXG/USDT,1782.88,1782.88,-0.95%,2.26M,+25.47%
LTO/USDT,0.51216,0.51,+2.54%,2.08M,+371.04%
ELF/USDT,0.4317,0.43,-2.42%,2.03M,+1545.87%
BTS/USDT,0.1092,0.1,-2.06%,2.03M,+387.57%
WNXM/USDT,88.0825,88.08,-5.17%,2.03M,+1419.85%
KNC1S/USDT,0.151,0.15,+1.34%,2.01M,+177.61%
LAMB/USDT,0.0798,0.079,-1.42%,2M,+1174.01%
ZRX1S/USDT,2.534,2.53,+0.68%,1.98M,+324.24%
DOT3S/USDT,0.624,0.62,-27.44%,1.91M,+913.40%
ICX3L/USDT,1.138,1.13,+10.06%,1.86M,+1236.27%
AR/USDT,30.0282,30.02,+4.76%,1.86M,+569.29%
BAL3L/USDT,0.677,0.67,+5.12%,1.8M,+1577.98%
UMA/USDT,24.906,24.9,+1.44%,1.8M,+304.90%
NEXO/USDT,3.5659,3.56,-0.52%,1.8M,+196.54%
NEST/USDT,0.0382,0.038,-2.30%,1.8M,+244.41%
BIX/USDT,0.197231,0.19,+20.02%,1.77M,+203.57%
ZEC1S/USDT,2.927,2.92,+3.21%,1.76M,+506.49%
OXT/USDT,0.6209,0.62,+1.95%,1.73M,+302.75%
SUSHI3S/USDT,0.86,0.86,+6.83%,1.71M,+955.12%
AUCTION/USDT,47.9155,47.91,+3.97%,1.69M,+572.05%
ICX/USDT,2.4402,2.44,+4.68%,1.66M,+628.53%
STX/USDT,2.0935,2.09,-3.49%,1.66M,+386.04%
ARPA/USDT,0.092319,0.092,+1.24%,1.64M,+312.32%
BAT1S/USDT,3.06,3.06,-0.26%,1.64M,+365.24%
TRB3L/USDT,0.914,0.91,+5.91%,1.62M,+2530.46%
ZIL3L/USDT,1.319,1.31,-3.16%,1.6M,+2113.18%
CRE/USDT,0.018019,0.018,-3.37%,1.58M,+844.84%
SEELE/USDT,0.010091,0.01,-0.56%,1.54M,+233.32%
STORJ3L/USDT,2.772,2.77,-5.87%,1.54M,+2547.86%
LTC3L/USDT,1.267,1.26,+3.18%,1.51M,+425.39%
RING/USDT,0.1423,0.14,+10.74%,1.46M,+304.78%
BTC2S/USDT,1.162,1.16,+2.47%,1.46M,+319.89%
BTC3L/USDT,13.127,13.12,-4.04%,1.44M,+292.20%
YAM/USDT,2.284,2.28,-0.56%,1.44M,+551.52%
XRP3S/USDT,0.204,0.2,-3.77%,1.42M,+947.43%
KNC3S/USDT,0.332,0.33,+2.79%,1.42M,+888.67%
SXP3L/USDT,2.721,2.72,-4.56%,1.39M,+2470.85%
IRIS/USDT,0.145,0.14,-2.36%,1.37M,+356.84%
SXP1S/USDT,1.314,1.31,-0.45%,1.37M,+394.03%
SNT/USDT,0.160489,0.16,-0.67%,1.34M,+461.47%
MIR/USDT,9.7271,9.72,+0.89%,1.34M,+324.90%
FIS/USDT,2.4116,2.41,+7.97%,1.32M,+1142.82%
BAL3S/USDT,0.507,0.5,-4.70%,1.3M,+715.59%
ZEC3L/USDT,6.065,6.06,-5.84%,1.25M,+661.31%
BCHA/USDT,33.6217,33.62,+0.59%,1.24M,+348.81%
DAI/USDT,1.0001,1,-0.08%,1.23M,--
TOMO/USDT,2.4323,2.43,+10.37%,1.23M,+316.91%
LOOM/USDT,0.150539,0.15,+4.68%,1.21M,+623.15%
RLC3S/USDT,4.474,4.47,-7.66%,1.2M,+4806.33%
YFI3S/USDT,1.236,1.23,+3.60%,1.19M,+1058.81%
RVN/USDT,0.16276,0.16,-1.44%,1.19M,+332.44%
CVC/USDT,0.5011,0.5,-1.28%,1.17M,+381.91%
DOGE3S/USDT,5.318,5.31,+8.84%,1.12M,+738.01%
NULS/USDT,1.0752,1.07,+3.48%,1.06M,+308.49%
ZEC3S/USDT,5.099,5.09,+6.99%,1.03M,+1102.85%
GRT3L/USDT,2.921,2.92,+4.36%,1.01M,+1284.07%
MASS/USDT,0.8783,0.87,+2.37%,1.01M,+282.92%
LTC3S/USDT,0.778,0.77,-4.89%,1M,+1083.27%
MKR3L/USDT,2.931,2.93,-4.62%,993.21K,+964.62%
BTC2L/USDT,0.787,0.78,-3.55%,941.22K,+231.62%
CTXC/USDT,0.3222,0.32,+5.09%,929.13K,+469.31%
ADA3S/USDT,0.768,0.76,-8.79%,916.16K,+615.93%
ICX3S/USDT,0.421,0.42,-16.63%,904.88K,+1144.12%
EGLD3L/USDT,0.732,0.73,-3.94%,885.39K,+2261.32%
FIL3S/USDT,1.334,1.33,-15.19%,881.42K,+478.58%
STEEM/USDT,0.8365,0.83,-2.16%,879.05K,+610.83%
IOTA3S/USDT,2.116,2.11,+8.24%,874.05K,+1052.68%
NODE/USDT,0.001217,0.0012,+1.08%,872.21K,+1151.67%
QTUM3L/USDT,0.625,0.62,+1.30%,827.53K,+1306.99%
MBTC/USDT,53.577,53.57,-1.44%,798.54K,+115.35%
BZRX3L/USDT,0.778,0.77,+40.18%,746.47K,+3511.47%
NEO3S/USDT,2.282,2.28,+4.11%,684.32K,+1252.11%
YFI3L/USDT,0.657,0.65,-3.95%,666.08K,+805.67%
IOST3L/USDT,0.662,0.66,-3.92%,663.07K,+3295.55%
SNX3L/USDT,17.508,17.5,+15.07%,643.16K,+4249.61%
BTC3S/USDT,0.913,0.91,+5.55%,634.81K,+558.19%
FLM3L/USDT,0.469,0.46,+8.82%,551.6K,+1128.43%
QTUM3S/USDT,0.408,0.4,-1.45%,550.94K,+1096.32%
DCR/USDT,206.578,206.57,-1.09%,546.24K,+175.30%
BNB1S/USDT,0.372,0.37,-6.77%,519.35K,+225.22%
LINK3S/USDT,0.601,0.6,-7.11%,507.79K,--
ONT3L/USDT,1.022,1.02,+6.46%,499.02K,+938.29%
XLM3S/USDT,0.293,0.29,+1.38%,491.62K,+750.39%
IOST3S/USDT,0.511,0.51,+3.23%,488.46K,+831.94%
KAVA3L/USDT,0.568,0.56,+3.09%,488.08K,+1915.97%
HYDRO/USDT,0.020612,0.02,-0.43%,484.27K,+443.79%
ALGO3S/USDT,0.675,0.67,-20.49%,482.53K,+921.37%
BOR/USDT,668.22,668.22,-4.39%,470.72K,+247.96%
XMR3L/USDT,3.213,3.21,-9.75%,469.73K,+2480.09%
LINK3L/USDT,0.492,0.49,+4.90%,444.35K,+872.99%
NEAR3S/USDT,0.283,0.28,-29.25%,438.87K,+1052.18%
CRV3L/USDT,0.24,0.24,+6.67%,437.61K,+1024.97%
MTA/USDT,2.6586,2.65,-2.94%,428.61K,+252.12%
ETH3S/USDT,0.37,0.37,-4.15%,406.24K,+634.16%
ALGO3L/USDT,0.663,0.66,+17.35%,403.31K,+1852.99%
FIRO/USDT,10.4981,10.49,-2.06%,395.6K,+332.35%
DEFI3L/USDT,1.183,1.18,+2.42%,387.03K,+760.30%
OMG3L/USDT,0.666,0.66,-1.04%,355.9K,+1151.35%
UTK/USDT,0.488,0.48,-1.89%,349.34K,+977.88%
SOL3S/USDT,0.52,0.52,+9.94%,344.01K,+1092.41%
VIDY/USDT,0.004719,0.0047,-0.46%,339.06K,+490.93%
SNX1S/USDT,2.796,2.79,-7.42%,338.64K,+379.93%
SXP3S/USDT,0.853,0.85,+5.31%,330.11K,+1240.18%
GRT3S/USDT,0.865,0.86,-3.78%,298.39K,+1150.00%
COMP3L/USDT,2.022,2.02,+6.42%,297.86K,+3018.80%
IOST1S/USDT,0.497,0.49,+1.43%,277.24K,+293.38%
AST/USDT,0.3925,0.39,+3.24%,274.79K,+407.54%
IOTA3L/USDT,0.458,0.45,-7.85%,253.21K,+1804.24%
ETC3L/USDT,0.454,0.45,-1.94%,250.64K,+791.03%
SKM/USDT,0.005653,0.0056,-0.77%,249.14K,+869.27%
MKR3S/USDT,1.108,1.1,+3.17%,236.4K,+917.16%
DASH3L/USDT,0.545,0.54,+12.60%,208.77K,+695.16%
UNI3S/USDT,1.066,1.06,+21.14%,200.6K,+750.25%
BAND1S/USDT,1.602,1.6,+2.96%,191.24K,+413.82%
BCH3L/USDT,0.665,0.66,-1.04%,180.41K,+550.12%
PAX/USDT,0.9997,0.99,+0.06%,176.39K,+46.48%
BZRX3S/USDT,0.132,0.13,-38.32%,176.34K,+890.33%
DEFI3S/USDT,0.492,0.49,-9.06%,172.64K,+636.50%
AAVE3S/USDT,0.117,0.11,+5.41%,172.5K,+619.80%
GLM/USDT,0.438,0.43,-0.39%,145.98K,+588.25%
XTZ3S/USDT,1.126,1.12,-2.51%,144.83K,+1065.35%
NEO3L/USDT,0.416,0.41,-3.48%,144.57K,+1084.60%
CRV3S/USDT,0.167,0.16,-6.18%,143.86K,+1197.83%
ZRX3L/USDT,0.383,0.38,-1.54%,137.94K,+1936.82%
RLC3L/USDT,0.299,0.29,+6.03%,131.12K,+2153.47%
RUNE3S/USDT,0.37,0.37,-7.73%,119.4K,+1339.09%
WAVES3S/USDT,0.457,0.45,-48.82%,107.97K,+581.04%
OMG3S/USDT,0.198,0.19,+1.02%,105.67K,+892.42%
THETA3S/USDT,0.936,0.93,+6.61%,98.55K,+1272.77%
DASH3S/USDT,0.177,0.17,-14.90%,83.91K,+880.14%
BAND3L/USDT,0.531,0.53,-8.13%,79.38K,+1568.52%
XMR3S/USDT,0.425,0.42,+10.10%,54.9K,+695.67%
XTZ3L/USDT,0.375,0.37,+2.74%,54.07K,+653.05%
RLC1S/USDT,0.13,0.13,-2.26%,51.1K,+178.50%
XMR1S/USDT,0.123,0.12,+3.36%,45.25K,+139.89%
BCH3S/USDT,0.159,0.15,+1.27%,45.14K,+1047.26%
COMP3S/USDT,0.326,0.32,-4.96%,43.18K,+497.44%
ZRX3S/USDT,0.141,0.14,+2.17%,39.09K,+686.50%
XTZ1S/USDT,0.232,0.23,-0.85%,35.67K,+294.95%
THETA1S/USDT,0.224,0.22,+1.82%,33.57K,+282.69%
SNX3S/USDT,0.602,0.6,-15.09%,27.28K,+916.45%
BAND3S/USDT,0.504,0.5,+7.69%,21.7K,+1400.00%
BTC1S/USDT,0.119,0.11,+0.85%,19.86K,+37.17%